_id,keywords_en,keyword_hash,image_url,categories,tags
6903,year,84cdc76c,https://static.arasaac.org/pictograms/6903/6903_500.png,unit of time|core vocabulary-time,time|unit of time|core vocabulary
6904,pile up|pile,3fa83b9c,https://static.arasaac.org/pictograms/6904/6904_500.png,verb,communication|language|verb
6905,pile up|pile,3fa83b9c,https://static.arasaac.org/pictograms/6905/6905_500.png,usual verbs|core vocabulary-communication,communication|language|verb|usual verbs|core vocabulary
6906,that one|that|that one over there,1f1745ff,https://static.arasaac.org/pictograms/6906/6906_500.png,demonstrative adjective|demonstrative pronoun|feeding,communication|language|adjective|demonstrative adjective|pronoun|demonstrative pronoun|feeding
6907,those|those over there,d165c3ef,https://static.arasaac.org/pictograms/6907/6907_500.png,demonstrative adjective|demonstrative pronoun,communication|language|adjective|demonstrative adjective|pronoun|demonstrative pronoun
6908,file,8c7dd922,https://static.arasaac.org/pictograms/6908/6908_500.png,usual verbs|document|furniture,communication|language|verb|usual verbs|document|object|furniture
6909,wardrobe|closet,43731ceb,https://static.arasaac.org/pictograms/6909/6909_500.png,furniture,object|furniture
6910,repair|fix|mend,78afb336,https://static.arasaac.org/pictograms/6910/6910_500.png,verb,communication|language|verb
6911,rice,3767b450,https://static.arasaac.org/pictograms/6911/6911_500.png,cereal|herbaceous plant,feeding|food|plant-based food|cereal|plant|hervaceouos plant
6912,toiletry|toilet articles,bd1ac0e2,https://static.arasaac.org/pictograms/6912/6912_500.png,hygiene product|core vocabulary-object|object|corporal hygiene,object|hygiene product|hygiene|corporal hygiene|core vocabulary|human body
6913,lean out,8a3680b1,https://static.arasaac.org/pictograms/6913/6913_500.png,verb|architectural element|building facility,communication|language|verb|architecture|building|architectural element|place|building facility
